fips,county,state_name,state_abbr,svi,risk,ml_risk
05051,Garland County,Arkansas,AR,0.8661,0.2598,0.0
05053,Grant County,Arkansas,AR,0.1852,0.0556,0.0
05055,Greene County,Arkansas,AR,0.6917,0.2075,0.0
05057,Hempstead County,Arkansas,AR,0.8998,0.2699,0.0
05059,Hot Spring County,Arkansas,AR,0.6437,0.1931,0.0
05061,Howard County,Arkansas,AR,0.8797,0.9639,1.0
05063,Independence County,Arkansas,AR,0.8241,0.2472,0.0
05065,Izard County,Arkansas,AR,0.671,0.5513,0.5
05067,Jackson County,Arkansas,AR,0.7101,0.913,1.0
05069,Jefferson County,Arkansas,AR,0.9096,0.2729,0.0
05071,Johnson County,Arkansas,AR,0.895,0.2685,0.0
05073,Lafayette County,Arkansas,AR,0.8075,0.2422,0.0
05075,Lawrence County,Arkansas,AR,0.7003,0.2101,0.0
05077,Lee County,Arkansas,AR,0.9714,0.2914,0.0
05079,Lincoln County,Arkansas,AR,0.5864,0.1759,0.0
05081,Little River County,Arkansas,AR,0.4197,0.1259,0.0
05083,Logan County,Arkansas,AR,0.5444,0.1633,0.0
05085,Lonoke County,Arkansas,AR,0.4063,0.8219,1.0
05087,Madison County,Arkansas,AR,0.5272,0.1582,0.0
05089,Marion County,Arkansas,AR,0.4588,0.1376,0.0
05091,Miller County,Arkansas,AR,0.9354,0.2806,0.0
05093,Mississippi County,Arkansas,AR,0.9335,0.805,0.75
05095,Monroe County,Arkansas,AR,0.9341,0.2802,0.0
05097,Montgomery County,Arkansas,AR,0.5765,0.173,0.0
05099,Nevada County,Arkansas,AR,0.8527,0.2558,0.0
05101,Newton County,Arkansas,AR,0.1985,0.0596,0.0
05103,Ouachita County,Arkansas,AR,0.7464,0.2239,0.0
05105,Perry County,Arkansas,AR,0.4292,0.1288,0.0
05107,Phillips County,Arkansas,AR,0.9628,0.2888,0.0
05109,Pike County,Arkansas,AR,0.5972,0.1792,0.0
05111,Poinsett County,Arkansas,AR,0.7381,0.6881,0.6667
05113,Polk County,Arkansas,AR,0.6863,0.5559,0.5
05115,Pope County,Arkansas,AR,0.8171,0.2451,0.0
05117,Prairie County,Arkansas,AR,0.4601,0.663,0.75
05119,Pulaski County,Arkansas,AR,0.7811,0.5843,0.5
